"","LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","X"
"29","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus rubra",45473,"Quercus rubra",221312,2327014,NA,"",59,"Latitude","Latitude","43.55","dec","Single","","","",43.55,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"30","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus rubra",45473,"Quercus rubra",221312,2327015,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"31","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus rubra",45473,"Quercus rubra",221313,2327030,NA,"",59,"Latitude","Latitude","43.55","dec","Single","","","",43.55,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"32","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus rubra",45473,"Quercus rubra",221313,2327031,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"33","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221314,2327046,NA,"",59,"Latitude","Latitude","43.55","dec","Single","","","",43.55,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"34","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221314,2327047,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"35","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221315,2327062,NA,"",59,"Latitude","Latitude","43.55","dec","Single","","","",43.55,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"36","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221315,2327063,NA,"",60,"Longitude","Longitude","-89.45","dec","Single","","","",-89.45,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"37","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221847,2335532,NA,"",59,"Latitude","Latitude","40.8","dec","Single","","","",40.8,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"38","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221847,2335533,NA,"",60,"Longitude","Longitude","-77.85","dec","Single","","","",-77.85,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"39","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221848,2335546,NA,"",59,"Latitude","Latitude","40.8","dec","Single","","","",40.8,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
