"","spp_name","trait_name","value","unit","kind","source"
"65","Abies magnifica","P12",-3.77187610367934,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"66","Abies magnifica","P50",-3.76963383078575,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"67","Abies magnifica","P88",-4.79410078605016,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"68","Abies magnifica","Rooting Depth maximum",2.03046533000966,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"69","Abies magnifica","WUE",12.5066474370162,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"70","Abies magnifica","height",58.0459076690674,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"71","Abies magnifica","SLA",12.1383004689217,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"72","Abies magnifica","LeafN",11.5116424894333,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"73","Abies procera","gsmax",126.765684661865,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"74","Abies procera","P12",-4.05278792838256,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"75","Abies procera","P50",-3.94310174226761,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"76","Abies procera","P88",-5.02466679970423,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"77","Abies procera","Rooting Depth maximum",2.02423963669067,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"78","Abies procera","WUE",8.36536798993746,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"79","Abies procera","height",58.2397965494792,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"80","Abies procera","SLA",12.1383004689217,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"81","Abies procera","LeafN",11.661921599706,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"82","Acacia aneura","gsmax",82.4032077407837,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"83","Acacia aneura","P12",-3.42086664030949,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"84","Acacia aneura","P50",-1.80720191756884,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"85","Acacia aneura","P88",-4.68189145882924,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"86","Acacia aneura","Rooting Depth maximum",5.20050084152569,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"87","Acacia aneura","WUE",13.0242712435126,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"88","Acacia aneura","height",14.6796065489451,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"89","Acacia aneura","SLA",2.92915192206701,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"90","Acacia aneura","LeafN",20.0204138565063,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"91","Acacia auriculiformis","gsmax",240.880526606242,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"92","Acacia auriculiformis","P12",-3.06034327030182,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"93","Acacia auriculiformis","P50",-1.71768997589747,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"94","Acacia auriculiformis","P88",-4.54239845534166,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"95","Acacia auriculiformis","Rooting Depth maximum",4.10960169625779,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"96","Acacia auriculiformis","WUE",12.0630287914475,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"97","Acacia auriculiformis","height",10.6022165473302,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"98","Acacia auriculiformis","SLA",9.38948218266169,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"99","Acacia auriculiformis","LeafN",22.6837005233765,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"100","Acacia confusa","gsmax",241.621473290126,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"101","Acacia confusa","P12",-2.94567352036635,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"102","Acacia confusa","P50",-1.74722812096278,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"103","Acacia confusa","P88",-4.76676114857197,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"104","Acacia confusa","Rooting Depth maximum",11.2577274579803,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"105","Acacia confusa","WUE",14.627371044755,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"106","Acacia confusa","height",10.7900904687246,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"107","Acacia confusa","SLA",7.28400207599004,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"108","Acacia confusa","LeafN",27.7917407766978,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"109","Acacia dealbata","gsmax",382.405116068522,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"110","Acacia dealbata","P12",-3.38825893412034,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"111","Acacia dealbata","P50",-1.87399808923403,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"112","Acacia dealbata","P88",-5.13968581438065,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"113","Acacia dealbata","Rooting Depth maximum",13.5404955433371,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"114","Acacia dealbata","WUE",12.7183257136742,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"115","Acacia dealbata","height",11.7462664254506,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"116","Acacia dealbata","SLA",15.303633462588,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"117","Acacia dealbata","LeafN",32.0536482048035,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"118","Acacia decurrens","gsmax",208.235170548757,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"119","Acacia decurrens","P12",-3.49359271287918,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"120","Acacia decurrens","P50",-1.5732506030798,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"121","Acacia decurrens","P88",-5.15284981211027,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"122","Acacia decurrens","Rooting Depth maximum",22.8618192953616,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"123","Acacia decurrens","WUE",12.8980745648344,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"124","Acacia decurrens","height",7.20732181708018,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
