"spp_name","trait_name","value","unit","kind","source","comment"
"Acacia aneura","LeafN",20.0204138565063,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia auriculiformis","gsmax",240.880526606242,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia auriculiformis","P12",-3.06034327030182,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia auriculiformis","P50",-1.71768997589747,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia auriculiformis","P88",-4.54239845534166,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia auriculiformis","Rooting Depth maximum",4.10960169625779,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia auriculiformis","WUE",12.0630287914475,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia auriculiformis","height",10.6022165473302,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia auriculiformis","SLA",9.38948218266169,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia auriculiformis","LeafN",22.6837005233765,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia confusa","gsmax",241.621473290126,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia confusa","P12",-2.94567352036635,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia confusa","P50",-1.74722812096278,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia confusa","P88",-4.76676114857197,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia confusa","Rooting Depth maximum",11.2577274579803,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia confusa","WUE",14.627371044755,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia confusa","height",10.7900904687246,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia confusa","SLA",7.28400207599004,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia confusa","LeafN",27.7917407766978,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia dealbata","gsmax",382.405116068522,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia dealbata","P12",-3.38825893412034,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia dealbata","P50",-1.87399808923403,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia dealbata","P88",-5.13968581438065,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia dealbata","Rooting Depth maximum",13.5404955433371,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia dealbata","WUE",12.7183257136742,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia dealbata","height",11.7462664254506,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia dealbata","SLA",15.303633462588,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia dealbata","LeafN",32.0536482048035,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia decurrens","gsmax",208.235170548757,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia decurrens","P12",-3.49359271287918,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia decurrens","P50",-1.5732506030798,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Acacia decurrens","P88",-5.15284981211027,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
