"spp_name","trait_name","value","unit","source","id_dfdo","comment","kind"
"Andira inermis","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218239","longevity with categories","Single"
"Beilschmiedia pendula","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218250","longevity with categories","Single"
"Betula papyrifera","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218253","longevity with categories","Single"
"Betula lenta","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218254","longevity with categories","Single"
"Cordia alliodora","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218264","longevity with categories","Single"
"Fraxinus excelsior","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218275","longevity with categories","Single"
"Hura crepitans","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218282","longevity with categories","Single"
"Hymenaea courbaril","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218283","longevity with categories","Single"
"Lonchocarpus heptaphyllus","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218296","longevity with categories","Single"
"Maesopsis eminii","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218300","longevity with categories","Single"
"Melaleuca quinquenervia","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218301","longevity with categories","Single"
"Prunus serotina","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218331","longevity with categories","Single"
"Sambucus nigra","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218340","longevity with categories","Single"
"Bursera simaruba","SLA",11.7924528301887,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221041","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Capparis baducca","SLA",17.9856115107914,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221042","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Cecropia obtusifolia","SLA",12.7226463104326,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221044","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Dendropanax arboreus","SLA",10.6496272630458,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221052","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Faramea occidentalis","SLA",11.5207373271889,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221055","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Guarea glabra","SLA",8.71839581517001,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221058","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Piper amalago","SLA",15.220700152207,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221069","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Piper hispidum","SLA",15.4320987654321,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221071","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Trema micrantha","SLA",17.3913043478261,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221086","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Turpinia occidentalis","SLA",12.3304562268804,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221090","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Fraxinus pennsylvanica","SLA",19.6463654223969,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221098","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Fraxinus pennsylvanica","SLA",20.2839756592292,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221099","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Fraxinus pennsylvanica","SLA",20.2020202020202,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221100","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Fraxinus pennsylvanica","SLA",18.796992481203,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221101","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Fraxinus pennsylvanica","SLA",16.5016501650165,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221102","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer pensylvanicum","SLA",32.6797385620915,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221134","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer saccharum","SLA",29.940119760479,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221135","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer spicatum","SLA",36.7647058823529,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221136","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Guarea guidonia","SLA",16.8918918918919,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221152","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Guarea guidonia","SLA",20.3252032520325,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221153","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Guarea guidonia","SLA",14.6842878120411,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221155","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Guarea guidonia","SLA",19.1570881226054,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221156","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Guarea guidonia","SLA",16.8067226890756,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221157","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Guarea guidonia","SLA",13.1926121372032,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221158","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
