"spp_name","trait_name","value","unit","comment","kind","source"
"Mallotus tiliifolius","Leaf area",5225.16489,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga tanarius","Plant height (maximum)",3.247880188,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga tanarius","Leaf nitrogen concentration",24.039122,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga tanarius","Wood Density",0.619904448,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga tanarius","Leaf phosphorous concentration",1.299930688,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga tanarius","Leaf Dry Matter Content",0.317176196,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga tanarius","Seed Dry Mass",27.87310267,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga tanarius","SLA",20.54394738,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga tanarius","Leaf area",6287.557105,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga mappa","Plant height (maximum)",34.53822385,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga mappa","Leaf nitrogen concentration",24.49063242,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga mappa","Wood Density",0.395730934,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga mappa","Leaf phosphorous concentration",2.728349485,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga mappa","Leaf Dry Matter Content",0.320036859,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga mappa","Seed Dry Mass",17.94320422,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga mappa","SLA",21.13975745,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga mappa","Leaf area",542.1257051,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga thompsonii","Plant height (maximum)",19.60649667,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga thompsonii","Leaf nitrogen concentration",16.10274813,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga thompsonii","Wood Density",0.497507921,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga thompsonii","Leaf phosphorous concentration",1.723058411,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga thompsonii","Leaf Dry Matter Content",0.375664365,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga thompsonii","Seed Dry Mass",16.20317043,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga thompsonii","SLA",12.85878693,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga thompsonii","Leaf area",588.30156,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga stipulosa","Plant height (maximum)",18.67669386,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga stipulosa","Leaf nitrogen concentration",16.36816521,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga stipulosa","Wood Density",0.495906728,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga stipulosa","Leaf phosphorous concentration",1.75549663,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga stipulosa","Leaf Dry Matter Content",0.372820685,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga stipulosa","Seed Dry Mass",15.81248039,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga stipulosa","SLA",13.18863958,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga stipulosa","Leaf area",589.5219771,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
