"","spp_name","trait_name","value","unit","kind","source","comment"
"75","Acacia angustissima","diaspore mass","10.4069","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 171, growth form = tree"
"76","Acacia argyrophylla","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 174, growth form = tree"
"77","Acacia argyrophylla","diaspore mass","58.76","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 174, growth form = tree"
"78","Acacia ascendens","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 177, growth form = tree"
"79","Acacia ascendens","diaspore mass","5.61","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 177, growth form = tree"
"80","Acacia aspera","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 178, growth form = tree"
"81","Acacia aspera","diaspore mass","12.8601","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 178, growth form = tree"
"82","Acacia assimilis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 179, growth form = tree"
"83","Acacia assimilis","diaspore mass","2.5692","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 179, growth form = tree"
"84","Acacia atkinsiana","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 181, growth form = tree"
"85","Acacia atkinsiana","diaspore mass","10.23","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 181, growth form = tree"
"86","Acacia atkinsiana","ssd observed","0.89","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 181, growth form = tree"
"87","Acacia atkinsiana","ssd combined","0.89","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 181, growth form = tree"
"88","Acacia aulacocarpa","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 182, growth form = tree"
"89","Acacia aulacocarpa","leaf area","3019","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 182, growth form = tree"
"90","Acacia aulacocarpa","plant height","17.55806316","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 182, growth form = tree"
"91","Acacia aulacocarpa","diaspore mass","19.219","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 182, growth form = tree"
"92","Acacia aulacocarpa","ssd observed","0.63530945","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 182, growth form = tree"
"93","Acacia aulacocarpa","ssd combined","0.63530945","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 182, growth form = tree"
"94","Acacia auriculiformis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 185, growth form = tree"
"95","Acacia auriculiformis","leaf area","4000","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 185, growth form = tree"
"96","Acacia auriculiformis","nmass","21.03729542","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 185, growth form = tree"
"97","Acacia auriculiformis","lma","105.0631214","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 185, growth form = tree"
"98","Acacia auriculiformis","plant height","30","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 185, growth form = tree"
"99","Acacia auriculiformis","diaspore mass","19.0136","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 185, growth form = tree"
"100","Acacia auriculiformis","ssd observed","0.511130772","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 185, growth form = tree"
"101","Acacia auriculiformis","ssd combined","0.511130772","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 185, growth form = tree"
"102","Acacia ausfeldii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 186, growth form = tree"
"103","Acacia ausfeldii","diaspore mass","11.67","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 186, growth form = tree"
"104","Acacia baileyana","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 188, growth form = tree"
"105","Acacia baileyana","plant height","7.071067812","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 188, growth form = tree"
"106","Acacia baileyana","diaspore mass","21.8644","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 188, growth form = tree"
"107","Acacia bakeri","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 189, growth form = tree"
"108","Acacia bakeri","diaspore mass","39.79","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 189, growth form = tree"
"109","Acacia bakeri","ssd observed","0.77","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 189, growth form = tree"
"110","Acacia bakeri","ssd combined","0.77","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 189, growth form = tree"
"111","Acacia baueri","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 191, growth form = tree"
"112","Acacia baueri","diaspore mass","13.58","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 191, growth form = tree"
"113","Acacia beauverdiana","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65086, growth form = tree"
"114","Acacia beauverdiana","diaspore mass","2.87","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65086, growth form = tree"
"115","Acacia beckleri","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 192, growth form = tree"
