"","spp_name","trait_name","value","unit","kind","source","comment"
"58","Aniba canellila","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"59","Aniba desertorum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"60","Aniba firmula","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"61","Aniba heringeri","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"62","Aniba taubertiana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"63","Beilschmiedia brachythyrsa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"64","Beilschmiedia fasciata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"65","Beilschmiedia fordii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"66","Beilschmiedia intermedia","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"67","Beilschmiedia kweichowensis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"68","Beilschmiedia mexicana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"69","Beilschmiedia obtusifolia","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"70","Beilschmiedia ovoidea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"71","Beilschmiedia pendula","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"72","Beilschmiedia percoriacea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"73","Beilschmiedia purpurascens","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"74","Beilschmiedia robusta","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
