"","spp_name","trait_name","value","unit_name","source","id_dfdo","comment","kind"
"51","Rhamnus cathartica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.5,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211253"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"52","Sambucus nigra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.9,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_211595"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"53","Syringa vulgaris","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.74,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_212091"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"54","Tilia cordata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_212204"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"55","Vitex agnus-castus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.01,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_212734"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"56","Andira inermis","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218239","longevity with categories","Single"
"57","Beilschmiedia pendula","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218250","longevity with categories","Single"
"58","Betula papyrifera","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218253","longevity with categories","Single"
"59","Betula lenta","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218254","longevity with categories","Single"
"60","Cordia alliodora","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218264","longevity with categories","Single"
