Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
390	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
400	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
400	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
410	-1573.918	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
410	-1573.918	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
420	-1574.105	-1625.262	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
420	-1574.105	-1625.262	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
430	-1574.003	-1625.16	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
430	-1574.003	-1625.16	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
440	-1574.215	-1625.373	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
440	-1574.215	-1625.373	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
450	-1574.159	-1625.317	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
450	-1574.159	-1625.317	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
460	-1573.937	-1625.095	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
460	-1573.937	-1625.095	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
470	-1574.155	-1625.312	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
470	-1574.155	-1625.312	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
480	-1573.932	-1625.089	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
480	-1573.932	-1625.089	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
490	-1574.678	-1625.836	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
