Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta_log_lambda[1]	delta_log_lambda[2]	delta_log_lambda[3]	delta_log_lambda[4]	delta_log_lambda[5]	delta_log_lambda[6]	delta_log_lambda[7]	delta_log_lambda[8]	delta_log_lambda[9]	delta_log_mu[1]	delta_log_mu[2]	delta_log_mu[3]	delta_log_mu[4]	delta_log_mu[5]	delta_log_mu[6]	delta_log_mu[7]	delta_log_mu[8]	delta_log_mu[9]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda_global_scale	log_lambda_at_present	log_mu_at_present	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu_global_scale	sigma_lambda[1]	sigma_lambda[2]	sigma_lambda[3]	sigma_lambda[4]	sigma_lambda[5]	sigma_lambda[6]	sigma_lambda[7]	sigma_lambda[8]	sigma_lambda[9]	sigma_mu[1]	sigma_mu[2]	sigma_mu[3]	sigma_mu[4]	sigma_mu[5]	sigma_mu[6]	sigma_mu[7]	sigma_mu[8]	sigma_mu[9]
20	0	-1575.486	-1626.643	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002971055	0.001839677	0.002968987	-0.0004095664	0.0007585152	0.0008774975	0.001110184	-0.002587288	0.0007767385	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.007414494	0.992613	0.989668	0.991491	0.994439	0.994031	0.994786	0.995659	0.996765	0.994189	0.994962	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.08914457	0.09215622	0.08769808	0.03556038	0.02375092	0.02997937	0.07552294	0.04672601
21	1	-1557.743	-1625.184	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.003280164	-0.002730804	-0.0008688534	0.0002168915	0.008510991	0.0004103444	-0.004201191	-0.0005000996	0.000952174	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.03776055	0.962943	0.966107	0.963473	0.962636	0.962845	0.971074	0.971473	0.9674	0.966917	0.967838	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
22	0	-1573.955	-1625.112	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.001110184	0.002968987	0.0007767385	-0.002971055	-0.002587288	0.001839677	0.0008774975	-0.0004095664	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03521203	0.965401	0.966133	0.967206	0.970082	0.970836	0.967956	0.965455	0.967233	0.968082	0.967685	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.02997937	0.09215622	0.04672601	0.09301229	0.07552294	0.08914457	0.02375092	0.08769808
23	1	-1557.731	-1625.173	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.0002168915	0.0004103444	-0.002730804	-0.0005000996	0.003280164	0.000952174	-0.0008688534	-0.004201191	0.008510991	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.02483676	0.975469	0.975681	0.976081	0.973419	0.972933	0.976129	0.977059	0.976211	0.972118	0.980427	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.03556038	0.04672601	0.09215622	0.07552294	0.09301229	0.02375092	0.08914457	0.08769808
24	0	-1574.11	-1625.268	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	-0.002587288	0.001110184	0.0008774975	0.0007585152	-0.0004095664	0.002968987	0.001839677	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03984399	0.960939	0.961686	0.959201	0.960267	0.96111	0.961839	0.961445	0.964304	0.966079	0.963213	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.07552294	0.02997937	0.02375092	0.03556038	0.08769808	0.09215622	0.08914457	0.09301229
25	1	-1557.626	-1625.068	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.0002168915	-0.002730804	0.0004103444	0.003280164	-0.0005000996	-0.0008688534	0.000952174	0.008510991	-0.004201191	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.0315622	0.968931	0.969141	0.966498	0.966895	0.970071	0.969586	0.968744	0.969667	0.977955	0.973855	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.04672601	0.03556038	0.07552294	0.09215622	0.02375092	0.09301229	0.08769808	0.08914457
26	0	-1573.909	-1625.067	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.0008774975	0.001839677	-0.002587288	-0.002971055	0.0007767385	0.002968987	0.001110184	0.0007585152	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03113074	0.969349	0.968952	0.969803	0.971588	0.969078	0.966203	0.966954	0.969829	0.970906	0.971643	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.02375092	0.08914457	0.07552294	0.09301229	0.04672601	0.09215622	0.02997937	0.03556038
27	1	-1557.727	-1625.168	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.003280164	-0.002730804	-0.0008688534	0.0002168915	0.008510991	0.0004103444	-0.004201191	-0.0005000996	0.000952174	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.03728003	0.963406	0.966572	0.963936	0.963099	0.963307	0.971541	0.97194	0.967865	0.967381	0.968303	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
28	0	-1575.005	-1626.162	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001839677	-0.002971055	-0.0004095664	0.002968987	0.0008774975	0.0007585152	-0.002587288	0.001110184	0.0007767385	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.05187483	0.949448	0.951196	0.948374	0.947986	0.950805	0.951639	0.952361	0.9499	0.950956	0.951695	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08914457	0.09301229	0.08769808	0.09215622	0.02375092	0.03556038	0.07552294	0.02997937	0.04672601
29	1	-1557.751	-1625.193	67.44141	-0.004795011	-0.002013735	0.001712008	0.001220361	0.001791829	0.0009400296	0.0002913102	-0.002956657	0.002413219	0.0002168915	0.0004103444	-0.002730804	-0.0005000996	0.003280164	0.000952174	-0.0008688534	-0.004201191	0.008510991	1	0.995216	0.993214	0.994916	0.996131	0.997918	0.998856	0.999147	0.996197	0.998604	0.5460528	0	-0.03800126	0.962712	0.962921	0.963316	0.960689	0.960208	0.963363	0.964281	0.963443	0.959404	0.967605	0.9191218	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.03556038	0.04672601	0.09215622	0.07552294	0.09301229	0.02375092	0.08914457	0.08769808
