Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
1280	-1558.052	-1625.493	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1290	-1558.604	-1626.045	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1300	-1557.653	-1625.094	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1310	-1557.717	-1625.158	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1320	-1558.168	-1625.609	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1330	-1557.972	-1625.414	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1340	-1557.63	-1625.071	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1350	-1557.865	-1625.307	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1360	-1557.697	-1625.139	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1370	-1557.72	-1625.161	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1380	-1557.675	-1625.117	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1390	-1557.995	-1625.437	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1400	-1558.761	-1626.202	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1410	-1558.238	-1625.68	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1420	-1557.707	-1625.148	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1430	-1557.66	-1625.101	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1440	-1557.745	-1625.186	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1450	-1558.67	-1626.112	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1460	-1557.902	-1625.343	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1470	-1557.717	-1625.159	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1480	-1557.782	-1625.224	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1490	-1557.814	-1625.255	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1500	-1559.498	-1626.94	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1510	-1557.829	-1625.271	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1520	-1557.929	-1625.37	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1530	-1557.81	-1625.251	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1540	-1558.392	-1625.834	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1550	-1557.842	-1625.283	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
