Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
0	0	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
1	1	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
134	0	-1575.411	-1626.569	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
135	1	-1557.709	-1625.151	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
136	0	-1575.411	-1626.569	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
137	1	-1557.709	-1625.151	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
138	0	-1573.933	-1625.091	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
139	1	-1557.63	-1625.071	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
140	0	-1573.933	-1625.091	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
141	1	-1557.63	-1625.071	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
142	0	-1574.64	-1625.798	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
143	1	-1557.63	-1625.072	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
144	0	-1574.64	-1625.798	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
145	1	-1557.63	-1625.072	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
146	0	-1573.929	-1625.086	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
147	1	-1557.627	-1625.068	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
148	0	-1573.929	-1625.086	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
149	1	-1557.627	-1625.068	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
150	0	-1573.969	-1625.126	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
151	1	-1558.076	-1625.517	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
152	0	-1573.969	-1625.126	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
153	1	-1558.076	-1625.517	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
154	0	-1574.766	-1625.924	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
155	1	-1557.719	-1625.16	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
156	0	-1574.766	-1625.924	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
157	1	-1557.719	-1625.16	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
