Iteration	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
880	-1557.631	-1625.072	67.44141	0.968059	0.967575	0.967972	0.968894	0.969105	0.965042	0.96241	0.970636	0.973825	0.972979
890	-1557.752	-1625.194	67.44141	0.976041	0.976253	0.976654	0.97399	0.973503	0.976702	0.977632	0.976783	0.972688	0.981002
900	-1558.216	-1625.657	67.44141	0.95482	0.957957	0.955345	0.954515	0.954722	0.962882	0.963278	0.959239	0.95876	0.959673
910	-1557.749	-1625.19	67.44141	0.962783	0.962302	0.962697	0.963614	0.963823	0.959782	0.957165	0.965346	0.968518	0.967676
920	-1557.92	-1625.361	67.44141	0.959147	0.959355	0.959749	0.957131	0.956653	0.959796	0.96071	0.959876	0.955852	0.964022
930	-1557.711	-1625.153	67.44141	0.974864	0.975793	0.971702	0.971216	0.979517	0.979919	0.979068	0.97928	0.982498	0.979819
940	-1557.676	-1625.118	67.44141	0.96517	0.964331	0.972574	0.975769	0.971678	0.969029	0.969952	0.970162	0.969677	0.970075
950	-1557.708	-1625.149	67.44141	0.974757	0.975686	0.971595	0.971109	0.97941	0.979812	0.978961	0.979173	0.98239	0.979711
960	-1557.875	-1625.316	67.44141	0.959972	0.96018	0.957562	0.957955	0.961102	0.960621	0.959787	0.960701	0.968913	0.964851
970	-1557.855	-1625.297	67.44141	0.978332	0.97423	0.975158	0.983493	0.983002	0.982148	0.982551	0.985779	0.985993	0.983304
980	-1557.635	-1625.077	67.44141	0.96757	0.96778	0.96514	0.965536	0.968709	0.968224	0.967384	0.968305	0.976582	0.972487
990	-1557.893	-1625.335	67.44141	0.959624	0.957008	0.960152	0.96036	0.959526	0.95992	0.968125	0.967641	0.963584	0.964502
1000	-1560.125	-1627.567	67.44141	0.938976	0.935039	0.943031	0.94393	0.94311	0.942638	0.945735	0.946124	0.943543	0.943748
1010	-1558.025	-1625.466	67.44141	0.957438	0.957831	0.958039	0.95756	0.954949	0.955858	0.958999	0.954978	0.954149	0.962304
1020	-1559.297	-1626.739	67.44141	0.944645	0.945545	0.945072	0.94111	0.941496	0.949544	0.94975	0.948925	0.946337	0.949446
1030	-1557.815	-1625.256	67.44141	0.977509	0.973411	0.974338	0.982666	0.982175	0.981322	0.981724	0.98495	0.985164	0.982477
1040	-1558.213	-1625.654	67.44141	0.983636	0.992043	0.991182	0.987026	0.990269	0.991213	0.98851	0.988015	0.98823	0.988635
1050	-1558.28	-1625.721	67.44141	0.984423	0.987658	0.984964	0.984109	0.984322	0.992736	0.993143	0.988979	0.988485	0.989427
1060	-1557.701	-1625.142	67.44141	0.964235	0.960193	0.961107	0.969322	0.968838	0.967996	0.968394	0.971575	0.971786	0.969136
1070	-1558.107	-1625.549	67.44141	0.956244	0.959386	0.958552	0.955938	0.964109	0.964318	0.960275	0.96067	0.961585	0.961104
1080	-1557.763	-1625.204	67.44141	0.976313	0.976714	0.976225	0.976437	0.977367	0.974702	0.970615	0.973804	0.982128	0.981275
1090	-1558.177	-1625.618	67.44141	0.955319	0.95449	0.957626	0.965811	0.963177	0.959139	0.959347	0.960261	0.960655	0.960175
1100	-1557.652	-1625.094	67.44141	0.96633	0.969505	0.966861	0.966021	0.966231	0.974489	0.974889	0.970802	0.970317	0.971241
1110	-1558.085	-1625.526	67.44141	0.982006	0.981515	0.98245	0.982853	0.978733	0.978945	0.987313	0.98462	0.983765	0.986997
1120	-1557.678	-1625.119	67.44141	0.973662	0.976861	0.976012	0.973351	0.98167	0.981883	0.977767	0.978168	0.9791	0.97861
1130	-1557.963	-1625.404	67.44141	0.980212	0.980614	0.980827	0.980336	0.977663	0.978594	0.981809	0.977693	0.976844	0.985193
1140	-1557.64	-1625.082	67.44141	0.96712	0.968041	0.963983	0.963501	0.971736	0.972135	0.971291	0.971502	0.974694	0.972035
1150	-1557.806	-1625.247	67.44141	0.961392	0.9616	0.961995	0.959371	0.958892	0.962042	0.962959	0.962122	0.958089	0.966278
1160	-1557.645	-1625.086	67.44141	0.966816	0.966333	0.966729	0.96765	0.96786	0.963802	0.961174	0.96939	0.972575	0.97173
1170	-1557.746	-1625.188	67.44141	0.962854	0.971084	0.967013	0.966173	0.967093	0.970271	0.969786	0.967141	0.967538	0.967748
1180	-1558.124	-1625.565	67.44141	0.95602	0.956228	0.95662	0.954011	0.953534	0.956667	0.957579	0.956747	0.952736	0.960879
1190	-1558.71	-1626.151	67.44141	0.988688	0.988194	0.989135	0.989541	0.985392	0.985606	0.99403	0.99132	0.990459	0.993713
1200	-1557.717	-1625.158	67.44141	0.96371	0.971947	0.967872	0.967031	0.967953	0.971133	0.970647	0.968	0.968398	0.968608
1210	-1557.671	-1625.112	67.44141	0.973375	0.974303	0.970218	0.969733	0.978021	0.978423	0.977573	0.977785	0.980998	0.978322
