Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
60	0	-1573.913	-1625.071	51.15772	0.968268	0.971147	0.968266	0.969	0.970785	0.971863	0.971465	0.97222	0.973073	0.970559
61	1	-1558.855	-1626.296	67.44141	0.989924	0.998385	0.997518	0.993336	0.9966	0.997549	0.994829	0.994331	0.994547	0.994955
62	0	-1574.02	-1625.177	51.15772	0.963143	0.960655	0.961401	0.962245	0.963314	0.962919	0.96365	0.965425	0.968295	0.965423
63	1	-1558.871	-1626.312	67.44141	0.948099	0.948488	0.948014	0.94822	0.949123	0.946535	0.942566	0.945663	0.953746	0.952918
64	0	-1574.426	-1625.584	51.15772	0.955771	0.953301	0.954138	0.954879	0.954488	0.955549	0.957308	0.958035	0.955192	0.958033
65	1	-1557.974	-1625.416	67.44141	0.958229	0.958623	0.958143	0.958351	0.959264	0.956648	0.952638	0.955768	0.963937	0.9631
66	0	-1575.411	-1626.569	51.15772	0.945967	0.94558	0.947321	0.948153	0.94534	0.942897	0.945701	0.946436	0.947154	0.948206
67	1	-1557.709	-1625.151	67.44141	0.963954	0.964349	0.964559	0.964076	0.961447	0.962363	0.965525	0.961477	0.960642	0.968853
68	0	-1573.933	-1625.091	51.15772	0.972283	0.973038	0.970524	0.971602	0.972455	0.973193	0.972795	0.975687	0.977484	0.974584
69	1	-1557.63	-1625.071	67.44141	0.968159	0.967318	0.970497	0.978792	0.976122	0.97203	0.972241	0.973167	0.973567	0.97308
70	0	-1574.64	-1625.798	51.15772	0.98527	0.988199	0.985268	0.986015	0.987831	0.988928	0.988523	0.989291	0.99016	0.987601
71	1	-1557.63	-1625.072	67.44141	0.968133	0.976408	0.972314	0.97147	0.972395	0.97559	0.975103	0.972443	0.972843	0.973054
72	0	-1573.929	-1625.086	51.15772	0.97201	0.969127	0.970911	0.973798	0.973399	0.974138	0.974993	0.976076	0.973554	0.97431
73	1	-1557.627	-1625.068	67.44141	0.968813	0.977094	0.976245	0.972152	0.975347	0.976276	0.973613	0.973127	0.973338	0.973737
74	0	-1573.969	-1625.126	51.15772	0.97395	0.975743	0.975344	0.97245	0.973304	0.976198	0.973676	0.974414	0.975172	0.976255
75	1	-1558.076	-1625.517	67.44141	0.956689	0.957601	0.953586	0.953109	0.961256	0.96165	0.960815	0.961023	0.964181	0.961552
76	0	-1574.766	-1625.924	51.15772	0.951789	0.952847	0.95357	0.954311	0.957148	0.954675	0.951843	0.952678	0.954433	0.954042
77	1	-1557.719	-1625.16	67.44141	0.975102	0.983437	0.982583	0.978463	0.981678	0.982613	0.979934	0.979444	0.979656	0.980058
78	0	-1573.983	-1625.141	51.15772	0.964279	0.961418	0.964277	0.966053	0.966786	0.96639	0.967463	0.968313	0.969065	0.966561
79	1	-1558.642	-1626.083	67.44141	0.950196	0.951102	0.947114	0.946641	0.954732	0.955124	0.954294	0.954501	0.957637	0.955026
80	0	-1573.926	-1625.084	51.15772	0.966951	0.967702	0.968777	0.966274	0.967007	0.967856	0.970734	0.970336	0.967458	0.969239
81	1	-1559.202	-1626.644	67.44141	0.992614	0.988452	0.989394	0.997851	0.997352	0.996486	0.996895	1.00017	1.00039	0.997659
82	0	-1573.918	-1625.076	51.15772	0.96766	0.968395	0.96947	0.972353	0.973109	0.970222	0.967715	0.969497	0.970348	0.96995
