Iteration	Posterior	Likelihood	Prior	delta_log_lambda[1]	delta_log_lambda[2]	delta_log_lambda[3]	delta_log_lambda[4]	delta_log_lambda[5]	delta_log_lambda[6]	delta_log_lambda[7]	delta_log_lambda[8]	delta_log_lambda[9]	delta_log_mu[1]	delta_log_mu[2]	delta_log_mu[3]	delta_log_mu[4]	delta_log_mu[5]	delta_log_mu[6]	delta_log_mu[7]	delta_log_mu[8]	delta_log_mu[9]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda_global_scale	log_lambda_at_present	log_mu_at_present	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu_global_scale	sigma_lambda[1]	sigma_lambda[2]	sigma_lambda[3]	sigma_lambda[4]	sigma_lambda[5]	sigma_lambda[6]	sigma_lambda[7]	sigma_lambda[8]	sigma_lambda[9]	sigma_mu[1]	sigma_mu[2]	sigma_mu[3]	sigma_mu[4]	sigma_mu[5]	sigma_mu[6]	sigma_mu[7]	sigma_mu[8]	sigma_mu[9]
200	-1573.926	-1625.084	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0008774975	-0.002587288	-0.0004095664	0.0007767385	0.001839677	0.001110184	-0.002971055	0.0007585152	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02855903	0.971845	0.972698	0.970185	0.969787	0.970541	0.972328	0.973408	0.97052	0.971257	0.974145	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02375092	0.07552294	0.08769808	0.04672601	0.08914457	0.02997937	0.09301229	0.03556038	0.09215622
210	-1574.181	-1625.338	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.001110184	0.0007767385	0.0007585152	-0.002587288	0.002968987	0.0008774975	-0.002971055	-0.0004095664	0.001839677	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02111741	0.979104	0.980192	0.980953	0.981698	0.979161	0.982072	0.982935	0.980019	0.979617	0.981421	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02997937	0.04672601	0.03556038	0.07552294	0.09215622	0.02375092	0.09301229	0.08769808	0.08914457
220	-1579.167	-1630.325	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0007767385	0.0008774975	0.001110184	-0.0004095664	0.0007585152	0.001839677	0.002968987	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.07829944	0.924687	0.922298	0.923015	0.923825	0.924851	0.924473	0.925174	0.926878	0.929634	0.926876	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
230	-1574.195	-1625.353	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	0.0007585152	-0.002971055	0.001110184	0.001839677	0.0007767385	-0.0004095664	-0.002587288	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04155266	0.959299	0.962151	0.962881	0.960025	0.961091	0.962861	0.963609	0.963214	0.960726	0.961569	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.03556038	0.09301229	0.02997937	0.08914457	0.04672601	0.08769808	0.07552294	0.02375092
240	-1573.919	-1625.076	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0008774975	-0.002587288	-0.0004095664	0.0007767385	0.001839677	0.001110184	-0.002971055	0.0007585152	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03296001	0.967577	0.968427	0.965924	0.965529	0.966279	0.968058	0.969134	0.966259	0.966992	0.969867	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02375092	0.07552294	0.08769808	0.04672601	0.08914457	0.02997937	0.09301229	0.03556038	0.09215622
250	-1573.915	-1625.072	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007585152	0.001110184	0.002968987	0.0007767385	-0.002971055	-0.002587288	0.001839677	0.0008774975	-0.0004095664	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03249667	0.968026	0.96876	0.969836	0.97272	0.973476	0.970588	0.96808	0.969863	0.970714	0.970316	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.03556038	0.02997937	0.09215622	0.04672601	0.09301229	0.07552294	0.08914457	0.02375092	0.08769808
260	-1573.965	-1625.123	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.001839677	0.0008774975	-0.002971055	-0.002587288	0.002968987	0.0007767385	0.0007585152	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.03568636	0.964943	0.964548	0.966324	0.967172	0.964303	0.961811	0.964671	0.965421	0.966153	0.967226	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.08914457	0.02375092	0.09301229	0.07552294	0.09215622	0.04672601	0.03556038	0.02997937
270	-1574.364	-1625.521	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0008774975	0.0007767385	-0.0004095664	0.001110184	0.001839677	0.0007585152	-0.002971055	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01822975	0.981935	0.979398	0.980258	0.98102	0.980618	0.981707	0.983515	0.984261	0.981341	0.984259	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.02375092	0.04672601	0.08769808	0.02997937	0.08914457	0.03556038	0.09301229	0.09215622
280	-1574.265	-1625.423	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.001839677	0.0008774975	-0.002971055	-0.002587288	0.002968987	0.0007767385	0.0007585152	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04278962	0.958113	0.957721	0.959484	0.960326	0.957477	0.955003	0.957843	0.958587	0.959315	0.96038	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.08914457	0.02375092	0.09301229	0.07552294	0.09215622	0.04672601	0.03556038	0.02997937
290	-1574.501	-1625.659	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0008774975	0.0007767385	-0.0004095664	0.001110184	0.001839677	0.0007585152	-0.002971055	0.002968987	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04625632	0.954797	0.95233	0.953166	0.953907	0.953516	0.954575	0.956333	0.957059	0.954219	0.957057	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.02375092	0.04672601	0.08769808	0.02997937	0.08914457	0.03556038	0.09301229	0.09215622
