"","SCIENTIFIC_NAME"
"760","Quercus douglasii"
"761","Quercus sinuata var. sinuata"
"762","Quercus ellipsoidalis"
"763","Quercus emoryi"
"764","Quercus engelmannii"
"765","Quercus falcata"
"766","Quercus pagoda"
"767","Quercus gambelii"
"768","Quercus garryana"
"769","Quercus ilicifolia"
"770","Quercus imbricaria"
"771","Quercus kelloggii"
"772","Quercus laevis"
"773","Quercus laurifolia"
"774","Quercus lobata"
"775","Quercus lyrata"
"776","Quercus macrocarpa"
"777","Quercus marilandica"
"778","Quercus michauxii"
"779","Quercus muehlenbergii"
"780","Quercus nigra"
"781","Quercus texana"
"782","Quercus oblongifolia"
"783","Quercus palustris"
"784","Quercus phellos"
"785","Quercus prinus"
"786","Quercus rubra"
"787","Quercus shumardii"
"788","Quercus stellata"
"789","Quercus similis"
"790","Quercus velutina"
"791","Quercus virginiana"
"792","Quercus wislizeni"
"793","Quercus margarettiae"
"794","Quercus minima"
"795","Quercus incana"
"796","Quercus hypoleucoides"
"797","Quercus oglethorpensis"
"798","Quercus prinoides"
"799","Quercus grisea"
"800","Quercus rugosa"
"801","Quercus graciliformis"
"802","Amyris elemifera"
"803","Annona glabra"
"804","Bursera simaruba"
"805","Casuarina spp."
"806","Casuarina glauca"
"807","Casuarina lepidophloia"
"808","Cinnamomum camphora"
"809","Citharexylum fruticosum"
"810","Citrus spp."
"811","Coccoloba diversifolia"
"812","Colubrina elliptica"
"813","Cordia sebestena"
"814","Cupaniopsis anacardioides"
"815","Condalia hookeri"
"816","Ebenopsis ebano"
"817","Leucaena pulverulenta"
"818","Sophora affinis"
"819","Eugenia rhombea"
"820","Exothea paniculata"
"821","Ficus aurea"
"822","Ficus citrifolia"
"823","Guapira discolor"
"824","Hippomane mancinella"
"825","Lysiloma latisiliquum"
"826","Mangifera indica"
"827","Metopium toxiferum"
"828","Piscidia piscipula"
"829","Schefflera actinophylla"
"830","Sideroxylon foetidissimum"
"831","Sideroxylon salicifolium"
"832","Simarouba glauca"
"833","Syzygium cumini"
"834","Tamarindus indica"
"835","Robinia pseudoacacia"
"836","Robinia neomexicana"
"837","Acoelorraphe wrightii"
"838","Coccothrinax argentata"
"839","Cocos nucifera"
"840","Roystonea spp."
"841","Sabal mexicana"
"842","Sabal palmetto"
"843","Thrinax morrisii"
"844","Thrinax radiata"
"845","Areca spp."
"846","Sapindus saponaria var. drummondii"
"847","Salix spp."
"848","Salix amygdaloides"
"849","Salix nigra"
"850","Salix bebbiana"
"851","Salix bonplandiana"
"852","Salix caroliniana"
"853","Salix pyrifolia"
"854","Salix alba"
"855","Salix scouleriana"
"856","Salix x sepulcralis"
"857","Sassafras albidum"
"858","Sorbus spp."
"859","Sorbus americana"
"860","Sorbus aucuparia"
"861","Sorbus decora"
"862","Swietenia mahagoni"
"863","Tilia spp."
"864","Tilia americana"
"865","Tilia americana var. heterophylla"
"866","Tilia americana var. caroliniana"
"867","Ulmus spp."
"868","Ulmus alata"
"869","Ulmus americana"
"870","Ulmus crassifolia"
"871","Ulmus pumila"
"872","Ulmus rubra"
"873","Ulmus serotina"
"874","Ulmus thomasii"
"875","Umbellularia californica"
"876","Yucca brevifolia"
"877","Avicennia germinans"
"878","Conocarpus erectus"
"879","Laguncularia racemosa"
"880","Rhizophora mangle"
"881","Olneya tesota"
"882","Tamarix spp."
"883","Melaleuca quinquenervia"
"884","Melia azedarach"
"885","Triadica sebifera"
"886","Vernicia fordii"
"887","Cotinus obovatus"
"888","Elaeagnus angustifolia"
"889","Tree broadleaf"
"890","Tree unknown"
"891","Crataegus phaenopyrum"
"892","Crataegus succulenta"
"893","Crataegus uniflora"
"894","Acer campestre"
"895","Acer circinatum"
"896","Acer ginnala"
"897","Acer griseum"
"898","Acer mono"
"899","Acer palmatum"
"900","Acer pseudoplatanus"
"901","Acer tataricum"
"902","Acer x freemanii"
"903","Acer miyabei"
"904","Acer triflorum"
"905","Acer platanoides x truncatum"
"906","Aesculus hippocastanum"
"907","Aesculus parviflora"
"908","Alnus incana"
"909","Alnus cordata"
"910","Alnus serrulata"
"911","Alnus viridis"
